"","km_sq","Presence","easting","northing"
"664","NM9040",0,190000,740000
"665","NM9041",1,190000,741000
"666","NM9042",1,190000,742000
"667","NM9044",0,190000,744000
"668","NM9045",0,190000,745000
"669","NM9079",1,190000,779000
"670","NM9080",1,190000,780000
"671","NM9081",1,190000,781000
"672","NM9123",0,191000,723000
"673","NM9124",0,191000,724000
"674","NM9128",0,191000,728000
"675","NM9129",1,191000,729000
"676","NM9130",1,191000,730000
"677","NM9133",0,191000,733000
"678","NM9134",0,191000,734000
"679","NM9135",0,191000,735000
"680","NM9136",1,191000,736000
"681","NM9137",0,191000,737000
"682","NM9140",0,191000,740000
"683","NM9141",0,191000,741000
"684","NM9142",0,191000,742000
"685","NM9143",0,191000,743000
"686","NM9145",0,191000,745000
"687","NM9146",1,191000,746000
"688","NM9179",1,191000,779000
"689","NM9180",1,191000,780000
"690","NM9181",1,191000,781000
"691","NM9182",1,191000,782000
"692","NM9183",0,191000,783000
"693","NM9214",0,192000,714000
"694","NM9223",0,192000,723000
"695","NM9231",0,192000,731000
"696","NM9236",0,192000,736000
"697","NM9243",1,192000,743000
"698","NM9244",1,192000,744000
"699","NM9246",0,192000,746000
"700","NM9247",1,192000,747000
"701","NM9258",1,192000,758000
"702","NM9260",0,192000,760000
"703","NM9279",1,192000,779000
"704","NM9315",0,193000,715000
"705","NM9316",0,193000,716000
"706","NM9328",0,193000,728000
"707","NM9331",1,193000,731000
"708","NM9332",0,193000,732000
"709","NM9340",1,193000,740000
"710","NM9344",1,193000,744000
"711","NM9346",0,193000,746000
"712","NM9347",0,193000,747000
"713","NM9364",1,193000,764000
"714","NM9365",1,193000,765000
"715","NM9380",1,193000,780000
"716","NM9428",0,194000,728000
"717","NM9463",1,194000,763000
"718","NM9464",1,194000,764000
"719","NM9465",0,194000,765000
"720","NM9479",0,194000,779000
"721","NM9482",0,194000,782000
"722","NM9483",0,194000,783000
"723","NM9510",0,195000,710000
"724","NM9515",0,195000,715000
"725","NM9531",1,195000,731000
"726","NM9532",1,195000,732000
"727","NM9533",1,195000,733000
"728","NM9544",1,195000,744000
"729","NM9545",1,195000,745000
"730","NM9560",1,195000,760000
"731","NM9563",1,195000,763000
"732","NM9614",0,196000,714000
"733","NM9631",1,196000,731000
"734","NM9632",1,196000,732000
"735","NM9633",1,196000,733000
"736","NM9641",0,196000,741000
"737","NM9642",0,196000,742000
