"","km_sq","easting","northing","Presence"
"619","NR6822",168000,622000,0
"620","NR7532",175000,632000,0
"621","NR7533",175000,633000,0
"622","NR7731",177000,631000,0
"623","NR7832",178000,632000,0
"624","NR7931",179000,631000,0
"625","NM9817",198000,717000,0
"626","NM9918",199000,718000,0
"627","NR7282",172000,682000,0
"628","NM8827",188000,727000,0
"629","NM2742",127000,742000,0
"630","NM4652",146000,752000,0
"631","NM5129",151000,729000,0
"632","NM3021",130000,721000,0
"633","NM5544",155000,744000,0
"634","NM4627",146000,727000,0
"635","NM4327",143000,727000,0
"636","NN2624",226000,724000,0
"637","NN2724",227000,724000,0
"638","NN2726",227000,726000,0
"639","NN2525",225000,725000,0
"640","NN2552",225000,752000,0
"641","NM8441",184000,741000,0
"642","NM8541",185000,741000,0
"643","NH2912",229000,812000,0
"644","NM4783",147000,783000,0
"645","NG5809",158000,809000,0
"646","NM6487",164000,787000,0
"647","NM6586",165000,786000,0
"648","NM6588",165000,788000,0
"649","NM6872",168000,772000,0
"650","NN0359",203000,759000,0
"651","NM9665",196000,765000,0
"652","NM6774",167000,774000,0
"653","NM6773",167000,773000,0
"654","NM6965",169000,765000,0
"655","NM7462",174000,762000,0
"656","NN0378",203000,778000,0
"657","NN1371",213000,771000,0
"658","NM7264",172000,764000,0
"659","NN1957",219000,757000,0
"660","NG2204",122000,804000,0
"661","NM4267",142000,767000,0
"662","NM6772",167000,772000,0
"663","NH2211",222000,811000,0
"664","NM4785",147000,785000,0
"665","NM4890",148000,790000,0
"666","NN2170",221000,770000,0
"667","NM8061",180000,761000,0
"668","NM6467",164000,767000,0
"669","NM8062",180000,762000,0
"670","NM6445",164000,745000,0
"671","NM6590",165000,790000,0
"672","NM8162",181000,762000,0
"673","NN0858",208000,758000,0
"674","NN1058",210000,758000,0
"675","NN0560",205000,760000,0
"676","NM9756",197000,756000,0
"677","NM9482",194000,782000,0
"678","NM9563",195000,763000,0
"679","NG2506",125000,806000,0
"680","NG2605",126000,805000,0
"681","NN1988",219000,788000,0
"682","NR6841",168000,641000,0
"683","NR8039",180000,639000,0
"684","NR7132",171000,632000,0
"685","NR9838",198000,638000,0
"686","NR9938",199000,638000,0
"687","NM9042",190000,742000,0
"688","NM8711",187000,711000,0
"689","NR8688",186000,688000,0
"690","NS1749",217000,649000,0
"691","NR7487",174000,687000,0
"692","NM9825",198000,725000,0
"693","NM3645",136000,745000,0
"694","NS3063",230000,663000,0
"695","NS3163",231000,663000,0
"696","NS3072",230000,672000,0
"697","NS2472",224000,672000,0
"698","NS0366",203000,666000,0
"699","NS0466",204000,666000,0
"700","NS2156",221000,656000,0
"701","NS2074",220000,674000,0
"702","NS2365",223000,665000,0
"703","NM0247",102000,747000,0
"704","NL9843",98000,743000,0
"705","NM0346",103000,746000,0
"706","NM0248",102000,748000,0
"707","NM0747",107000,747000,0
"708","NM0445",104000,745000,0
"709","NL9440",94000,740000,0
"710","NL9945",99000,745000,0
"711","NM5252",152000,752000,0
"712","NM9145",191000,745000,0
"713","NR3071",130000,671000,0
"714","NR4652",146000,652000,0
"715","NM4438",144000,738000,0
"716","NM6024",160000,724000,0
"717","NR7791",177000,691000,0
"718","NR6980",169000,680000,0
"719","NR3791",137000,691000,0
"720","NR3491",134000,691000,0
"721","NR3892",138000,692000,0
"722","NR3891",138000,691000,0
"723","NR3997",139000,697000,0
