,ID,X,Y,species,adults
2256,3213,-5.750101815,56.90221246,Chequered Skipper,Present
2281,3238,-5.254921529,56.55473169,Chequered Skipper,Present
2290,3247,-5.254921529,56.55473169,Chequered Skipper,Present
2297,3254,-5.254921529,56.55473169,Chequered Skipper,Present
2383,3340,-5.254921529,56.55473169,Chequered Skipper,Present
2387,3344,-5.253759732,56.56015587,Chequered Skipper,Present
2411,3368,-5.254921529,56.55473169,Chequered Skipper,Present
2423,3380,-5.254921529,56.55473169,Chequered Skipper,Present
2443,3400,-5.18560582,56.60147548,Chequered Skipper,Present
2455,3412,-5.192979423,56.59229696,Chequered Skipper,Present
2460,3417,-5.191504983,56.59413269,Chequered Skipper,Present
2482,3439,-5.188631314,56.59870111,Chequered Skipper,Present
2503,3460,-5.093812029,56.97363728,Chequered Skipper,Present
2504,3461,-5.093244326,56.97472996,Chequered Skipper,Present
50,96,-5.405966291,56.85813755,Chequered Skipper,Present
140,1094,-5.247185473,56.55942897,Chequered Skipper,Present
346,1303,-5.291806876,56.54836565,Chequered Skipper,Present
535,1492,-5.608628815,56.75578974,Chequered Skipper,Present
657,1614,-5.247959165,56.55895927,Chequered Skipper,Present
683,1640,-5.048228879,57.00895802,Chequered Skipper,Present
699,1656,-5.411449177,56.86428062,Chequered Skipper,Present
731,1688,-5.608628815,56.75578974,Chequered Skipper,Present
